Mã hàng hóa / HS code	HS code 8 số	Ngày bắt đầu hiệu lực	Ngày kết thúc hiệu lực	Tên hàng hóa tiếng Trung	Thuế suất GTGT/VAT	Thuế suất hoàn thuế xuất khẩu	Unnamed: 7	Unnamed: 8
70010010	70010010	2026-04-01	2100-12-31	无色光学玻璃块料	13	0.0	4611-03-13	7341-05-15
70010090	70010090	2026-04-01	2100-12-31	其他碎玻璃及废玻璃；	13	0.0	4611-03-13	7341-05-15
70023200	70023200	2026-04-01	2100-12-31	其他未加工的玻璃管	13	0.0	4611-03-13	7341-05-15
70023900	70023900	2026-04-01	2100-12-31	未列名、未加工的玻璃	13	0.0	4611-03-13	7341-05-15
7003190001	70031900	2026-04-01	2100-12-31	液晶或有机发光二极管	13	0.0	4611-03-13	7341-05-15
7005290002	70052900	2026-04-01	2100-12-31	液晶或有机发光二极管	13	0.0	4611-03-13	7341-05-15
70060000	70060000	2026-04-01	2100-12-31	经其他加工编号7003-7	13	0.0	4611-03-13	7341-05-15
70071110	70071110	2026-04-01	2100-12-31	航空航天器及船舶用钢	13	0.0	4611-03-13	7341-05-15
70071190	70071190	2026-04-01	2100-12-31	车辆用钢化安全玻璃	13	0.0	4611-03-13	7341-05-15
70071900	70071900	2026-04-01	2100-12-31	其他钢化安全玻璃	13	0.0	4611-03-13	7341-05-15
70072110	70072110	2026-04-01	2100-12-31	航空航天器及船舶用层	13	0.0	4611-03-13	7341-05-15
70072190	70072190	2026-04-01	2100-12-31	车辆用层压安全玻璃	13	0.0	4611-03-13	7341-05-15
70072900	70072900	2026-04-01	2100-12-31	其他层压安全玻璃	13	0.0	4611-03-13	7341-05-15
70080010	70080010	2026-04-01	2100-12-31	中空或真空隔温、隔音	13	0.0	4611-03-13	7341-05-15
70080090	70080090	2026-04-01	2100-12-31	其他多层隔温、隔音玻	13	0.0	4611-03-13	7341-05-15
70091000	70091000	2026-04-01	2100-12-31	车辆后视镜	13	0.0	4611-03-13	7341-05-15
70099100	70099100	2026-04-01	2100-12-31	未镶框玻璃镜	13	0.0	4611-03-13	7341-05-15
70099200	70099200	2026-04-01	2100-12-31	其他镶框玻璃镜(包括	13	0.0	4611-03-13	7341-05-15
70101000	70101000	2026-04-01	2100-12-31	玻璃安瓿	13	0.0	4611-03-13	7341-05-15
70102000	70102000	2026-04-01	2100-12-31	玻璃制的塞、盖及类似	13	0.0	4611-03-13	7341-05-15
70109010	70109010	2026-04-01	2100-12-31	装运货物或保藏用的玻	13	0.0	4611-03-13	7341-05-15
70109020	70109020	2026-04-01	2100-12-31	装运货物或保藏用的玻	13	0.0	4611-03-13	7341-05-15
70109030	70109030	2026-04-01	2100-12-31	装运货物或保藏用的玻	13	0.0	4611-03-13	7341-05-15
70109090	70109090	2026-04-01	2100-12-31	装运货物或保藏用的玻	13	0.0	4611-03-13	7341-05-15
70112010	70112010	2026-04-01	2100-12-31	显像管玻壳及其零件	13	0.0	4611-03-13	7341-05-15
70112090	70112090	2026-04-01	2100-12-31	其他阴极射线管用的未	13	0.0	4611-03-13	7341-05-15
70119010	70119010	2026-04-01	2100-12-31	电子管未封口玻璃外壳	13	0.0	4611-03-13	7341-05-15
70131000	70131000	2026-04-01	2100-12-31	玻璃陶瓷制玻璃器皿	13	0.0	4611-03-13	7341-05-15
70132200	70132200	2026-04-01	2100-12-31	铅晶质玻璃制高脚杯	13	0.0	4611-03-13	7341-05-15
70132800	70132800	2026-04-01	2100-12-31	其他玻璃制高脚杯	13	0.0	4611-03-13	7341-05-15
70133300	70133300	2026-04-01	2100-12-31	铅晶质玻璃制其他杯	13	0.0	4611-03-13	7341-05-15
70133700	70133700	2026-04-01	2100-12-31	其他玻璃杯	13	0.0	4611-03-13	7341-05-15
70134100	70134100	2026-04-01	2100-12-31	铅晶质玻璃制餐桌、厨	13	0.0	4611-03-13	7341-05-15
70134200	70134200	2026-04-01	2100-12-31	低膨胀系数玻璃制餐桌	13	0.0	4611-03-13	7341-05-15
70134900	70134900	2026-04-01	2100-12-31	其他玻璃制餐桌、厨房	13	0.0	4611-03-13	7341-05-15
70139100	70139100	2026-04-01	2100-12-31	其他铅晶质玻璃器皿	13	0.0	4611-03-13	7341-05-15
70139900	70139900	2026-04-01	2100-12-31	其他玻璃器皿	13	0.0	4611-03-13	7341-05-15
70140010	70140010	2026-04-01	2100-12-31	光学仪器用光学元件毛	13	0.0	4611-03-13	7341-05-15
70140090	70140090	2026-04-01	2100-12-31	其他未经光学加工的信	13	0.0	4611-03-13	7341-05-15
70151010	70151010	2026-04-01	2100-12-31	视力矫正眼镜用变色镜	13	0.0	4611-03-13	7341-05-15
70151090	70151090	2026-04-01	2100-12-31	其他视力矫正眼镜用镜	13	0.0	4611-03-13	7341-05-15
70159020	70159020	2026-04-01	2100-12-31	平光变色镜片坯件	13	0.0	4611-03-13	7341-05-15
70161000	70161000	2026-04-01	2100-12-31	供镶嵌或装饰用玻璃马	13	0.0	4611-03-13	7341-05-15
70169010	70169010	2026-04-01	2100-12-31	花饰铅条窗玻璃及类似	13	0.0	4611-03-13	7341-05-15
70169090	70169090	2026-04-01	2100-12-31	建筑用压制或模制铺面	13	0.0	4611-03-13	7341-05-15
